close,high,low,open
10.95,11.05,10.82,10.95
11.2,11.3,10.86,10.95
11.75,11.8,11.17,11.2
11.79,11.8,11.52,11.75
11.65,11.83,11.62,11.79
11.8,11.84,11.6,11.65
11.73,11.8,11.57,11.8
11.77,11.78,11.64,11.73
12.42,12.43,11.67,11.77
12.35,12.41,12.13,12.42
12.41,12.48,12.25,12.35
12.48,12.6,12.31,12.41
12.25,12.65,11.89,12.48
12.2,12.34,11.9,12.25
12.35,12.41,12.1,12.2
12.45,12.6,12.15,12.35
12.57,12.65,12.42,12.45
12.56,12.69,12.46,12.57
12.5,12.68,12.43,12.56
12.68,12.68,12.48,12.5
13.41,13.5,12.62,12.68
13.38,13.42,13.15,13.41
13.3,13.69,12.9,13.38
13.5,13.55,12.98,13.3
13.42,13.55,13.35,13.5
13.39,13.53,13.02,13.42
13.43,13.55,13.27,13.39
13.56,13.67,13.3,13.43
13.7,13.8,13.3,13.56
13.7,13.8,13.47,13.7
13.6,13.9,13,13.7
13.49,13.64,13.44,13.6
13.3,13.67,13.13,13.49
13.25,13.49,12.75,13.3
13.3,13.4,13.11,13.25
13.6,13.6,13.2,13.3
13.52,13.72,13.33,13.6
13.5,13.6,13.42,13.52
13.37,13.59,13.32,13.5
13.31,13.47,13.01,13.37
13.38,13.45,13.21,13.31
13.35,13.43,13.14,13.38
13.47,13.47,13.2,13.35
13.42,13.47,13.25,13.47
13.42,13.65,13.34,13.42
13.4,13.67,13.27,13.42
13.45,13.59,13.35,13.4
13.51,13.56,13.37,13.45
13.3,13.56,13.16,13.51
13.28,13.4,13.16,13.3
13.4,13.46,13.25,13.28
13.5,13.52,13.27,13.4
13.44,13.55,13.31,13.5
13.45,13.52,13.36,13.44
13.59,13.59,13.4,13.45
13.74,13.88,13.5,13.59
13.77,13.86,13.62,13.74
14.14,14.32,13.77,13.77
14.14,14.35,13.91,14.14
14.24,14.34,13.98,14.14
14.12,14.31,13.95,14.24
14.3,14.35,14.11,14.12
14.25,14.48,13.99,14.3
14.73,14.73,14.21,14.25
15.5,15.7,14.63,14.73
15.7,15.99,15.41,15.5
15.62,15.77,15.25,15.7
15.7,15.89,15.51,15.62
16.8,16.98,15.63,15.7
17.26,17.59,16.65,16.8
17.5,17.59,16.8,17.26
16.9,19.19,15.61,17.5
17.4,17.8,15.39,16.9
17.88,17.88,16.54,17.4
17.82,18,17.21,17.88
18.72,18.88,17.75,17.82
19.53,19.8,18.7,18.72
19.7,19.8,19.15,19.53
20.41,21.43,19.51,19.7
20.5,21.13,20.3,20.41
19.63,20.5,18,20.5
20.59,20.9,19.42,19.63
20.43,21.05,19.86,20.59
20.6,20.79,20.2,20.43
21.18,21.33,20.6,20.6
22.15,22.22,20.77,21.18
22.66,22.77,22,22.15
23.65,23.99,22.58,22.66
23.97,24.11,22.67,23.65
24.65,24.68,23.65,23.97
25.17,25.83,24.3,24.65
24.2,26.3,24.19,25.17
27.22,27.6,21.72,24.2
27.1,27.51,26.1,27.22
27.22,27.5,26.81,27.1
26.81,27.4,25,27.22
26.95,27.15,26.36,26.81
29.42,29.65,26.8,26.95
29.65,29.87,28.99,29.42
29.75,29.98,29.31,29.65
30.25,31.3,29.67,29.75
29.8,30.69,28,30.25
29.89,30.4,29.2,29.8
30.4,30.4,29.55,29.89
31.1,31.7,30.12,30.4
30.9,31.65,30.79,31.1
33.38,34.52,30.9,30.9
34.5,34.9,32.92,33.38
34.25,34.81,33.15,34.5
34.5,34.5,33.8,34.25
36.15,36.7,34.19,34.5
40.33,40.65,36.15,36.15
41.02,49.1,40.14,40.33
42,45.5,33.3,41.02
44.18,44.5,41.02,42
46.85,46.99,43.41,44.18
46,47.95,45.47,46.85
48.4,48.47,45.54,46
44.29,48.4,36.65,48.4
46.92,47.3,43.75,44.29
47.17,47.99,46.05,46.92
46.95,47.45,46.4,47.17
47,47.36,46.27,46.95
47.4,47.74,46.8,47
51.6,52.88,47.12,47.4
59.14,62,50,51.6
64.49,66,57.7,59.14
70.85,74.9,63.1,64.49
69.87,73.75,65,70.85
64.35,70.5,52.35,69.87
71.5,72.5,62.7,64.35
73.6,78,69.52,71.5
78.5,79.72,73.11,73.6
